D_1,D_2,T_1,T_2,Value
D1136,D1132,P20,P732,0.9016477123447059
D1136,D1132,P20,P773,0.8970993754564832
D1136,D1139,P20,P203,0.9347812490227351
D1136,D1139,P20,P732,0.9409244822426963
D1136,D1139,P20,P773,0.9363761453544736
D1137,D1132,P20,P203,0.9043212662875026
D1137,D1132,P20,P732,0.9104644995074639
D1137,D1132,P20,P773,0.9059161626192411
D1137,D1139,P20,P203,0.9317988262801752
D1137,D1139,P20,P732,0.9379420595001364
D1137,D1139,P20,P773,0.9333937226119137
D1138,D1132,P20,P203,0.9609250398724082
D1138,D1132,P20,P732,0.9670682730923694
D1138,D1132,P20,P773,0.9625199362041467
D1138,D1139,P20,P203,0.8812790221732932
D1138,D1139,P20,P732,0.8874222553932544
D1138,D1139,P20,P773,0.8828739185050317
D1139,D1132,P20,P203,0.8812790221732932
D1139,D1132,P20,P732,0.8874222553932544
D1139,D1132,P20,P773,0.8828739185050317
D1140,D1132,P20,P203,0.8812790221732932
D1140,D1132,P20,P732,0.8874222553932544
D1140,D1132,P20,P773,0.8828739185050317
D1140,D1139,P20,P203,0.9609250398724082
D1140,D1139,P20,P732,0.9670682730923694
D1140,D1139,P20,P773,0.9625199362041467
D1141,D1132,P20,P203,0.9043212662875026
D1141,D1132,P20,P732,0.9104644995074639
D1141,D1132,P20,P773,0.9059161626192411
D1141,D1139,P20,P203,0.9317988262801752
D1141,D1139,P20,P732,0.9379420595001364
D1141,D1139,P20,P773,0.9333937226119137
D1142,D1144,P19,P202,0.875084487518759
D1142,D1144,P19,P207,0.8722892394404922
D1142,D1144,P19,P621,0.8729880514600589
D1143,D1144,P19,P202,0.8508961236486208
D1143,D1144,P19,P207,0.848100875570354
D1143,D1144,P19,P621,0.8487996875899206
D1144,D1149,P19,P202,0.8862656560769769
D1144,D1149,P19,P207,0.8834704079987099
D1144,D1149,P19,P621,0.8841692200182766
D1144,D1156,P19,P202,0.8862656560769769
D1144,D1156,P19,P207,0.8834704079987099
D1144,D1156,P19,P621,0.8841692200182766
D1145,D1144,P19,P202,0.8874236378801199
D1145,D1144,P19,P207,0.8846283898018529
D1145,D1144,P19,P621,0.8853272018214197
D1146,D1144,P19,P202,0.9217210053254296
D1146,D1144,P19,P207,0.9189257572471625
D1146,D1144,P19,P621,0.9196245692667292
D1146,D1149,P19,P202,0.9089290142242059
D1146,D1149,P19,P207,0.9061337661459389
D1146,D1149,P19,P621,0.9068325781655057
D1146,D1156,P19,P202,0.9089290142242059
D1146,D1156,P19,P207,0.9061337661459389
D1146,D1156,P19,P621,0.9068325781655057
D1147,D1144,P19,P202,0.8862656560769769
D1147,D1144,P19,P207,0.8834704079987099
D1147,D1144,P19,P621,0.8841692200182766
D1147,D1149,P19,P202,0.9119066817180025
D1147,D1149,P19,P207,0.9091114336397356
D1147,D1149,P19,P621,0.9098102456593024
D1147,D1156,P19,P202,0.9119066817180025
D1147,D1156,P19,P207,0.9091114336397356
D1147,D1156,P19,P621,0.9098102456593024
D1148,D1144,P19,P202,0.9225976856293453
D1148,D1144,P19,P207,0.9198024375510784
D1148,D1144,P19,P621,0.9205012495706452
D1148,D1149,P19,P202,0.8825360523473731
D1148,D1149,P19,P207,0.8797408042691061
D1148,D1149,P19,P621,0.8804396162886728
D1148,D1156,P19,P202,0.8825360523473731
D1148,D1156,P19,P207,0.8797408042691061
D1148,D1156,P19,P621,0.8804396162886728
D1149,D1144,P19,P202,0.8862656560769769
D1149,D1144,P19,P207,0.8834704079987099
D1149,D1144,P19,P621,0.8841692200182766
D1149,D1156,P19,P202,0.9119066817180025
D1149,D1156,P19,P207,0.9091114336397356
D1149,D1156,P19,P621,0.9098102456593024
D1150,D1144,P19,P202,0.8760092458205665
D1150,D1144,P19,P207,0.8732139977422997
D1150,D1144,P19,P621,0.8739128097618664
D1150,D1149,P19,P202,0.8838929044504938
D1150,D1149,P19,P207,0.8810976563722269
D1150,D1149,P19,P621,0.8817964683917937
D1150,D1156,P19,P202,0.867164950019749
D1150,D1156,P19,P207,0.8643697019414821
D1150,D1156,P19,P621,0.8650685139610488
D1151,D1144,P19,P202,0.9225976856293453
D1151,D1144,P19,P207,0.9198024375510784
D1151,D1144,P19,P621,0.9205012495706452
D1151,D1149,P19,P202,0.8825360523473731
D1151,D1149,P19,P207,0.8797408042691061
D1151,D1149,P19,P621,0.8804396162886728
D1151,D1156,P19,P202,0.8825360523473731
D1151,D1156,P19,P207,0.8797408042691061
D1151,D1156,P19,P621,0.8804396162886728
D1152,D1144,P19,P202,0.8862656560769769
D1152,D1144,P19,P207,0.8834704079987099
D1152,D1144,P19,P621,0.8841692200182766
D1152,D1149,P19,P202,0.9119066817180025
D1152,D1149,P19,P207,0.9091114336397356
D1152,D1149,P19,P621,0.9098102456593024
D1152,D1156,P19,P202,0.9119066817180025
D1152,D1156,P19,P207,0.9091114336397356
D1152,D1156,P19,P621,0.9098102456593024
D1153,D1144,P19,P202,0.9089290142242059
D1153,D1144,P19,P207,0.9061337661459389
D1153,D1144,P19,P621,0.9068325781655057
D1153,D1149,P19,P202,0.9161534765897974
D1153,D1149,P19,P207,0.9133582285115304
D1153,D1149,P19,P621,0.9140570405310972
D1153,D1156,P19,P202,0.9161534765897974
D1153,D1156,P19,P207,0.9133582285115304
D1153,D1156,P19,P621,0.9140570405310972
D1154,D1144,P19,P202,0.8754059275701894
D1154,D1144,P19,P207,0.8726106794919226
D1154,D1144,P19,P621,0.8733094915114893
D1154,D1149,P19,P202,0.9087685263410411
D1154,D1149,P19,P207,0.9059732782627742
D1154,D1149,P19,P621,0.906672090282341
D1154,D1156,P19,P202,0.8999157314917582
D1154,D1156,P19,P207,0.8971204834134912
D1154,D1156,P19,P621,0.8978192954330578
D1155,D1144,P19,P202,0.9225976856293453
D1155,D1144,P19,P207,0.9198024375510784
D1155,D1144,P19,P621,0.9205012495706452
D1155,D1149,P19,P202,0.8825360523473731
D1155,D1149,P19,P207,0.8797408042691061
D1155,D1149,P19,P621,0.8804396162886728
D1155,D1156,P19,P202,0.9099530797644005
D1155,D1156,P19,P207,0.9071578316861336
D1155,D1156,P19,P621,0.9078566437057004
D1156,D1144,P19,P202,0.8862656560769769
D1156,D1144,P19,P207,0.8834704079987099
D1156,D1144,P19,P621,0.8841692200182766
D1156,D1149,P19,P202,0.9119066817180025
D1156,D1149,P19,P207,0.9091114336397356
D1156,D1149,P19,P621,0.9098102456593024
D1158,D1163,P25,P1058,0.888337924701561
D1158,D1163,P25,P1144,0.8886134067952249
D1158,D1163,P25,P1160,0.8886134067952249
D1158,D1163,P25,P1229,0.888337924701561
D1158,D1163,P25,P1236,0.8880624426078971
D1158,D1163,P25,P168,0.8886134067952249
D1158,D1163,P25,P876,0.888337924701561
D1158,D1163,P25,P984,0.888337924701561
D1158,D1163,P52,P176,0.7814274128142742
D1158,D1163,P52,P499,0.7797077474496829
D1158,D1163,P52,P51,0.7910407362295304
D1158,D1569,P79,P485,0.7951334379905809
D1158,D1569,P79,P648,0.756751747020334
D1158,D1569,P79,P660,0.7542633491752865
D1158,D1569,P79,P997,0.8756991685563115
D1160,D1037,P257,P405,0.8171140939597316
D1160,D1037,P405,P257,0.8171140939597316
D1160,D1037,P515,P461,0.8212050078247262
D1160,D1037,P515,P501,0.8203536493604213
D1163,D1158,P384,P284,0.7725131615405929
D1163,D1158,P434,P264,0.8096942580164056
D1163,D1158,P434,P442,0.8056674123788218
D1163,D1158,P434,P829,0.8213273676360924
D1163,D1158,P52,P176,0.7814274128142742
D1163,D1158,P52,P499,0.7797077474496829
D1163,D1158,P52,P51,0.7910407362295304
D1163,D1569,P79,P485,0.8064713064713064
D1163,D1569,P79,P648,0.7680896155010597
D1163,D1569,P79,P660,0.7656012176560122
D1163,D1569,P79,P997,0.887037037037037
D117,D1296,P78,P81,0.9121233547938917
D1170,D1171,P17,P252,0.8810679611650486
D1172,D1174,P424,P423,0.7718820861678003
D1173,D1174,P424,P423,0.7522742430305455
D1174,D1175,P424,P423,0.7696598639455782
D1175,D1174,P424,P423,0.7696598639455782
D118,D333,P172,P426,0.7469919284664086
D118,D333,P172,P432,0.7595811455127045
D118,D333,P172,P44,0.7460615265493314
D118,D333,P172,P451,0.7804936930412216
D118,D333,P172,P47,0.7454361356800381
D118,D333,P172,P48,0.7454361356800381
D118,D333,P172,P49,0.7659182811274067
D118,D333,P172,P576,0.7496272910637551
D118,D333,P172,P577,0.75073157754722
D118,D333,P172,P80,0.7455283108268183
D118,D333,P79,P485,0.7905982905982906
D118,D333,P79,P648,0.7522165996280438
D118,D333,P79,P660,0.7497282017829963
D118,D333,P79,P997,0.8711640211640211
D1180,D919,P434,P264,0.8558703041924519
